Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1477899840,693.21,694.95,693.2,694.95,0.54551985,378.61593752,694.04612412
1477903440,697.8,697.8,697.8,697.8,0.58,404.724,697.8
1477907040,699.29,699.29,696.13,699.29,1.92900224,1346.8490902,698.21022612
1477910640,695.63,695.63,693.08,695.63,3.27703298,2272.5001122,693.46269202
1477914240,695.32,695.32,694.35,694.35,0.77708812,540.1236716,695.06103323
1477917840,695.34,695.34,695.34,695.34,0.0325,22.59855,695.34
1477921440,696.0,697.87,696.0,697.87,3.4619999999999997,2410.3,696.21606008
1477925040,704.55,704.55,703.52,703.52,0.47427875,333.9601962,704.14328325
1477928640,706.1,706.1,706.1,706.1,0.36352528,256.68520021,706.1
1477932240,705.66,705.66,705.66,705.66,0.13300759,93.858135959,705.66
1477935840,704.84,704.84,704.84,704.84,0.23409279,164.9979621,704.84
1477939440,704.81,704.81,704.81,704.81,0.45475079999999996,320.51291135,704.81
1477943040,704.89,704.89,704.89,704.89,0.1711869,120.66793394,704.89
1477946640,703.16,703.16,703.15,703.15,0.45798,322.032737,703.15895236
1477950240,699.73,699.73,699.62,699.62,1.0,699.64284575,699.64284575
1477953840,698.4,698.4,696.8,696.8,7.34583242,5118.827254600001,696.83419957
1477957440,697.58,697.58,697.58,697.58,0.34201578,238.58336781,697.58
1477961040,697.67,697.67,697.67,697.67,5.225,3645.32575,697.67
1477964640,706.98,706.98,706.98,706.98,2.90528727,2053.9799941,706.98
1477968240,707.99,707.99,707.99,707.99,0.069163,48.96671237,707.99
1477971840,706.0,706.0,705.99,705.99,0.72906086,514.70977655,705.99013716
1477975440,709.82,709.82,709.82,709.82,0.05661756,40.188276439,709.82
1477979040,707.92,707.92,707.92,707.92,0.30879159999999994,218.59974947,707.92
1477982640,712.7,712.7,712.7,712.7,0.01471849,10.489867822999999,712.7
1477986240,719.09,719.79,719.09,719.79,3.21034412,2309.5199938,719.39951217
1477989840,719.26,719.28,717.11,717.11,5.28213791,3799.1948104999997,719.25324088
1477993440,723.0,723.0,722.03,722.03,1.23635719,892.90800264,722.20876771
1477997040,721.27,721.27,721.27,721.27,0.00788616,5.6880506232000005,721.27
1478000640,730.91,730.91,730.91,730.91,2.85,2083.0935,730.91
1478004240,731.88,732.62,731.88,732.62,3.93680525,2882.8236329,732.27489038
1478007840,733.99,734.57,733.99,734.57,2.84627059,2089.7842450999997,734.2184022999999
1478011440,728.27,728.27,728.01,728.01,0.07764676,56.536557288999994,728.1251308999999
